Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSDARG00000079880	tas2r200.1	8	30784020	30784982
ENSDARG00000077352	b4galnt1b	6	39222598	39252851
ENSDARG00000027572	as3mt	1	31706668	31722875
ENSDARG00000096656		1	56852400	56857465
ENSDARG00000074066	tas2r200.2	8	30780985	30782089
ENSDARG00000042873	slc25a27	20	36801804	36809059
ENSDARG00000011088	si:ch211-288d18.1	7	48999723	49056247
ENSDARG00000016903	wdr5	21	18274825	18290978
ENSDARG00000061345	wwp2	25	34748125	34805144
ENSDARG00000073742	prss59.2	16	26017360	26018694
ENSDARG00000088680	hhla2b.1	24	25244946	25256670
ENSDARG00000069230	zgc:153738	8	18450052	18460791
ENSDARG00000095177		8	30778205	30778501
ENSDARG00000068438	gucd1	8	30730628	30742233
ENSDARG00000057352	slc25a29	20	53600638	53624664
ENSDARG00000092764		9	21996315	21997149
ENSDARG00000105759		21	25346085	25346388
ENSDARG00000041895	cad	20	38788319	38827623
ENSDARG00000101707		3	26342768	26343648
ENSDARG00000013800	snrpd3	8	30742898	30745598
ENSDARG00000104285	armh3	22	35013443	35063526
ENSDARG00000042876	abracl	20	36806398	36818195
ENSDARG00000009594	nr1d2b	19	17400263	17407115
ENSDARG00000042440	p2rx7	8	30758169	30779101
ENSDARG00000059923	slc25a47a	20	53628534	53641863
ENSDARG00000091557	MMP19	11	3279039	3291771
ENSDARG00000098158	cpxm1b	14	52323322	52354463
ENSDARG00000036252	rras2	7	27834130	27887883
ENSDARG00000079295	CACNA1B	21	14381227	14630840
ENSDARG00000014230	dlst	17	52524355	52553447
ENSDARG00000061908	mfsd12a	2	23081247	23103149
ENSDARG00000094660	si:ch211-218d20.15	9	34425728	34429575
ENSDARG00000105813		21	25346781	25347003
ENSDARG00000070368	casp6b.2	3	32969204	32973554
ENSDARG00000040735	crygm6	9	22000812	22001778
ENSDARG00000105719	or92a2	21	25354106	25356174
ENSDARG00000045851	galnt8b.1	4	5205265	5213425
ENSDARG00000097530	xkr5b	17	32608010	32621103
ENSDARG00000052642	shisa9b	3	46043406	46115232
ENSDARG00000105835	or92a3	21	25364338	25365870
ENSDARG00000011521	upb1	8	30699429	30730675
ENSDARG00000096543		1	56859745	56864253
ENSDARG00000006527	brd3a	21	18266319	18275337
ENSDARG00000061405	eva1a	17	32571584	32608521
ENSDARG00000097593		2	23084639	23087324
ENSDARG00000010160	rps15a	3	26345732	26351656
ENSDARG00000095767	dio3b	20	53802521	53810638
ENSDARG00000015110	slc18a2	17	23782324	23811332
ENSDARG00000086504		2	32701820	32707411
ENSDARG00000086925		20	53865133	53870405
ENSDARG00000091631	si:ch211-197h24.6	16	27543308	27558896
ENSDARG00000032951	NRBP2	2	32676002	32738535
ENSDARG00000042452	p2rx4b	8	30743263	30755977
ENSDARG00000111889		7	29359988	29361366
ENSDARG00000057949	slc43a3b	14	17125428	17162558
ENSDARG00000102262		4	64025160	64052088
ENSDARG00000089582		4	30209190	30249797
ENSDARG00000054433	yipf6	5	35744623	35754882
ENSDARG00000046098	ebp	23	19147128	19153408
ENSDARG00000045853	rad51ap1	4	5196469	5203343
ENSDARG00000092873	atp5mj	20	20726231	20730631
ENSDARG00000077264	wdr43	17	24821627	24835683
ENSDARG00000105802		21	25365879	25366134
ENSDARG00000036505	syt4	7	23907692	23916118
ENSDARG00000095080		3	46224589	46227010
ENSDARG00000104205	cfhl3	22	23767557	23781213
ENSDARG00000104914		7	72345925	72352043
ENSDARG00000100081	DNAI1	21	18292535	18304016
ENSDARG00000026680	slc25a14	21	38585686	38619305
ENSDARG00000052842	ppifb	12	48803098	48811125
ENSDARG00000032458	MARK2	7	24888910	24977171
ENSDARG00000054879	six3b	12	25600685	25603341
ENSDARG00000042857	si:ch211-246m6.4	22	14127472	14128716
ENSDARG00000004636	ccdc9	15	26903267	26931541
ENSDARG00000096928		15	18177941	18180824
ENSDARG00000039929	ckmt2b	5	51594209	51609006
ENSDARG00000077428	CAMTA1	23	30061364	30431333
ENSDARG00000075188	adamts10	8	20298369	20380750
ENSDARG00000093318	si:dkey-57a22.15	9	22003942	22004833
ENSDARG00000089765	si:ch211-286b5.4	1	55250107	55263740
ENSDARG00000097398	si:ch73-288o11.4	17	20585328	20592958
ENSDARG00000054055	ostn	15	36228835	36249087
ENSDARG00000034910		1	56873359	56878634
ENSDARG00000101520		1	35332924	35335416
ENSDARG00000092954	mrpl34	2	24317465	24320183
ENSDARG00000002600	pcsk1	21	11684830	11722343
ENSDARG00000074663	samd8	17	20569806	20590238
ENSDARG00000094163		25	24214393	24216980
ENSDARG00000097833		17	31096326	31097541
ENSDARG00000011851	map2k5	7	33970698	34062301
ENSDARG00000101843		4	64070952	64078341
ENSDARG00000074531	spag9a	3	18303407	18373604
ENSDARG00000113713		4	64102312	64114209
ENSDARG00000026577	cdk2	11	3301277	3308569
ENSDARG00000056277	or92a7	21	25375172	25376738
ENSDARG00000096887		25	30915178	31040725
ENSDARG00000096358		19	20831079	20853300
ENSDARG00000105754		21	25376752	25378011
ENSDARG00000103172		4	64133570	64142389
ENSDARG00000089547		19	23121009	23124591
ENSDARG00000105777		21	25376955	25377279
ENSDARG00000031200	ppp2r5cb	20	53898193	53963515
ENSDARG00000031348	mc5ra	19	12762887	12803408
ENSDARG00000035338	tppp2	5	37056818	37065741
ENSDARG00000102463	cox18	14	52356897	52366962
ENSDARG00000097743		6	12316438	12321901
ENSDARG00000044380	rbmx2	21	38638979	38647743
ENSDARG00000005026	tshz1	19	21266008	21416407
ENSDARG00000102029	si:dkey-183c6.7	7	23940933	23965561
ENSDARG00000043285		10	32646402	32648803
ENSDARG00000096417		19	21358624	21367332
ENSDARG00000099440		4	30256991	30260836
ENSDARG00000112705		7	29413895	29415250
ENSDARG00000079553	cd83	16	38394371	38397359
ENSDARG00000054878	six2b	12	25610019	25612170
ENSDARG00000105666		7	29390067	29391425
ENSDARG00000061844	arhgef15b	12	22359700	22400999
ENSDARG00000116770		7	29378430	29379784
ENSDARG00000069397	zswim8	13	21826096	21886312
ENSDARG00000009771	ppme1	21	25380675	25395223
ENSDARG00000105563		7	29431710	29433063
ENSDARG00000045592	tnni2a.1	25	31222069	31236549
ENSDARG00000057661	aldoca	15	16079586	16098531
ENSDARG00000087198	cthrc1a	19	12915498	12927089
ENSDARG00000061048	ranbp9	2	31806602	31827960
ENSDARG00000021547	vrk2	13	26780004	26799244
ENSDARG00000026183	polr2eb	22	17606588	17611582
ENSDARG00000113115		15	20798128	20799830
ENSDARG00000104020		7	29402489	29403921
ENSDARG00000069855	pnisr	16	32662469	32673028
ENSDARG00000037495	rtn4rl2b	14	17197132	17200874
ENSDARG00000104650		4	71383270	71384227
ENSDARG00000068719	gmnc	15	36309070	36316825
ENSDARG00000098305		4	71366326	71393373
ENSDARG00000038228	selenow2a	3	20108221	20118342
ENSDARG00000104210	si:ch73-173h19.3	22	35068046	35083781
ENSDARG00000005841	tnni2a.2	25	31238606	31248602
ENSDARG00000010144	plppr3a	2	26179096	26209425
ENSDARG00000094798		9	37636957	37749919
ENSDARG00000016421	crygm1	9	22011912	22012819
ENSDARG00000030750		24	25258904	25284835
ENSDARG00000042689	zbtb37	22	16032160	16034137
ENSDARG00000007885	fancl	13	26703897	26780797
ENSDARG00000068431	si:ch211-195h23.3	2	43920461	43955410
ENSDARG00000014465	arhgef25b	6	39256170	39275915
ENSDARG00000097431		3	33045883	33048390
ENSDARG00000061471	sema5ba	9	37481434	37749973
ENSDARG00000096507		1	56886214	56893355
ENSDARG00000076867	mrtfbb	3	46271911	46365456
ENSDARG00000019651	zgc:162239	21	40786804	40799404
ENSDARG00000093965		19	23128663	23129301
ENSDARG00000076443	si:dkey-183c6.8	7	23967332	23996133
ENSDARG00000043287	atg101	10	32657496	32663759
ENSDARG00000093462		2	24348589	24351040
ENSDARG00000088847		4	64147241	64159906
ENSDARG00000002720	utp15	18	7037349	7056760
ENSDARG00000076265	ANO8	2	24321751	24348948
ENSDARG00000006427	fabp2	1	25848231	25851575
ENSDARG00000099414		4	64178733	64180849
ENSDARG00000068478	gpx4a	22	17589608	17611742
ENSDARG00000103079		4	64200907	64202329
ENSDARG00000093337		2	43940925	43942595
ENSDARG00000114558		4	30262399	30269748
ENSDARG00000020363	snrnp25	3	46377305	46379900
ENSDARG00000100366	si:dkey-102m7.3	14	14836468	14838541
ENSDARG00000003307	stx16	6	49722970	49740750
ENSDARG00000069857	coq3	16	32652350	32662947
ENSDARG00000042877	heca	20	36820965	36839074
ENSDARG00000039452	hk1	13	22972888	23007813
ENSDARG00000068919	rad51c	10	32662886	32672508
ENSDARG00000055124	ccnl1a	18	41512102	41526488
ENSDARG00000038386	ascl1a	4	17417111	17419193
ENSDARG00000013752	tnni2a.3	25	31264155	31275944
ENSDARG00000093327	si:rp71-1h3.1	13	26226410	26703767
ENSDARG00000057062	fignl2	23	27134942	27235654
ENSDARG00000037835	polr3k	3	46380086	46384147
ENSDARG00000071694	ndc80	12	10353333	10365969
ENSDARG00000002479	ercc6l	5	23913585	23926519
ENSDARG00000099789		4	71401321	71412030
ENSDARG00000044381	siah2l	21	38659302	38717854
ENSDARG00000095822		8	24706551	24711139
ENSDARG00000002197	pygl	13	36846789	36863039
ENSDARG00000039082	zgc:123010	13	40247379	40282770
ENSDARG00000094521	si:ch73-194h10.3	6	28115383	28117995
ENSDARG00000098783	polr2b	14	52377557	52408817
ENSDARG00000099347		4	64295728	64296882
ENSDARG00000105529	vgf	7	26224211	26230166
ENSDARG00000076118	cdip1	3	46387860	46410387
ENSDARG00000003022	limk1b	21	40805336	40835069
ENSDARG00000093927		16	19422295	19424133
ENSDARG00000076066	marchf6	2	30489846	30526721
ENSDARG00000017274	opn1sw2	11	25459697	25475403
ENSDARG00000007818	palm1b	2	26237322	26284245
ENSDARG00000013307	rpl19	3	16229911	16232442
ENSDARG00000097700	si:dkey-23k10.2	15	36329368	36347895
ENSDARG00000101160	apoa4a	19	10845953	10850834
ENSDARG00000098979		4	71414829	71416263
ENSDARG00000087224		1	22236489	22370660
ENSDARG00000102967		11	25475283	25476185
ENSDARG00000011673		22	14145510	14161309
ENSDARG00000024746	hsp90aa1.2	20	53967350	53981626
ENSDARG00000015990	hcfc1a	11	25436440	25461336
ENSDARG00000087176	rskra	15	16099458	16121496
ENSDARG00000097439		2	26238769	26273332
ENSDARG00000059473	kank4	6	32410848	32507298
ENSDARG00000062165	tub	7	27898091	28058520
ENSDARG00000034893	rarab	3	33065613	33259621
ENSDARG00000102934	noa1	14	52408619	52418174
ENSDARG00000042690	s1pr1	22	16038495	16042243
ENSDARG00000086703		23	31920840	31932076
ENSDARG00000062030	gpr17	6	28124393	28125412
ENSDARG00000076701	b4galnt4b	7	49078890	49271492
ENSDARG00000033840	fat3a	15	40665310	40989931
ENSDARG00000095586		25	24231968	24233884
ENSDARG00000104138	igfbp7	14	52369262	52379718
ENSDARG00000033889	spty2d1	25	24233010	24248000
ENSDARG00000104535		7	28058202	28189681
ENSDARG00000078675	dock7	6	32326074	32404633
ENSDARG00000013771	ctss2.2	16	29514473	29519977
ENSDARG00000040738	zgc:153846	9	22017368	22018304
ENSDARG00000105549	ric3a	7	28047279	28058442
ENSDARG00000078733	cnnm2b	1	31725154	31799359
ENSDARG00000078180	sc:d0202	3	46425262	46427696
ENSDARG00000059751	abtb2a	7	49272702	49320952
ENSDARG00000101772		4	64318868	64323565
ENSDARG00000034504	lmo1	7	28109364	28148310
ENSDARG00000061248	xylt1	3	26418451	26524934
ENSDARG00000040253	onecutl	16	29521736	29528198
ENSDARG00000000472	cntn2	11	23933016	23987682
ENSDARG00000103811	agla	2	20472150	20526830
ENSDARG00000102551	jazf1a	19	19511394	19545111
ENSDARG00000093303	ifitm1	5	33258289	33259079
ENSDARG00000092658		8	32787850	32794476
ENSDARG00000078824	si:ch211-66e2.3	3	46444625	46454343
ENSDARG00000093922		23	33759747	33760665
ENSDARG00000100652	znf1147	4	64328155	64336954
ENSDARG00000015460	racgap1	23	33757173	33775309
ENSDARG00000095888		16	29515971	29530362
ENSDARG00000093680		2	23130389	23132134
ENSDARG00000093702	si:dkey-126g1.9	23	31933583	31940912
ENSDARG00000006200	eif4g1a	2	16798652	16842699
ENSDARG00000098050		17	31125155	31127838
ENSDARG00000011581		15	36349009	36357889
ENSDARG00000101497		4	30348676	30349370
ENSDARG00000091579	si:ch211-66e2.5	3	46457450	46473737
ENSDARG00000053650	foxb1b	7	29461060	29463253
ENSDARG00000028850	btr16	15	18198878	18209723
ENSDARG00000052764	chrnb3a	1	22388799	22412042
ENSDARG00000103873		7	29461816	29500370
ENSDARG00000008155	sms	21	25399133	25416391
ENSDARG00000096224		8	53040551	53044089
ENSDARG00000092633		5	30929047	30930288
ENSDARG00000101508	nr6a1a	8	52888295	53044300
ENSDARG00000036096	smad3a	7	34102661	34149263
ENSDARG00000092307		23	30517199	30698687
ENSDARG00000020594	txlnba	20	36845787	36887516
ENSDARG00000042484	tle2a	22	21618121	21667832
ENSDARG00000020326	tyk2	3	46479705	46555542
ENSDARG00000098052		2	23156047	23163292
ENSDARG00000009273	ppm1da	15	26933196	26939404
ENSDARG00000012871	npepl1	6	49742164	49760876
ENSDARG00000095113		15	18189645	18200358
ENSDARG00000010270	fezf1	25	28272908	28276091
ENSDARG00000002013	grb10a	19	23136170	23249822
ENSDARG00000100142		4	30354053	30362840
ENSDARG00000096735		20	36860807	36872548
ENSDARG00000051756	pdhx	25	37428187	37435076
ENSDARG00000078550	zgc:194839	8	32801818	32805214
ENSDARG00000002632	anxa11b	12	48815988	48837308
ENSDARG00000104239		4	30363762	30364502
ENSDARG00000099837		4	30363474	30374363
ENSDARG00000075677	mrpl17	16	26020886	26022068
ENSDARG00000017811	si:ch211-210c8.6	23	33752275	33757742
ENSDARG00000101235		7	23997518	24002244
ENSDARG00000078152	si:dkey-56i24.1	8	32851241	32894203
ENSDARG00000075159	meltf	6	30091811	30109437
ENSDARG00000105607	si:dkey-183c6.9	7	24002096	24005268
ENSDARG00000003219	bin2a	23	33739215	33753361
ENSDARG00000028862	rdh20	6	46458416	46474483
ENSDARG00000104890		4	71423591	71439440
ENSDARG00000010478	hsp90aa1.1	20	53982317	54012043
ENSDARG00000005453	foxp2	4	6423041	6623645
ENSDARG00000042508	ubr3	9	3898132	4018452
ENSDARG00000056803	ap1s1	7	26245061	26263206
ENSDARG00000089791	slc25a32a	19	12937066	12967986
ENSDARG00000070809	znf516	19	21698149	21766461
ENSDARG00000037178	zic2b	1	29831759	29860895
ENSDARG00000079570	rspo2	16	38453876	38553721
ENSDARG00000098892		4	64338860	64350388
ENSDARG00000032237	anapc4	20	23475381	23494712
ENSDARG00000044365	angptl3	6	32344197	32349153
ENSDARG00000021787	abcb5	16	19537038	19568795
ENSDARG00000100476	si:dkeyp-110c7.4	5	37068223	37074101
ENSDARG00000027322	lin7c	7	31902333	31922432
ENSDARG00000069017	elnb	21	40839857	40880353
ENSDARG00000055120	ctsba	17	32622931	32631514
ENSDARG00000009142	ppp1r13bb	20	20731052	20814177
ENSDARG00000077870	taf9	21	38724046	38730641
ENSDARG00000075798	usp38	1	35473219	35491005
ENSDARG00000037324	klhl17	23	23182037	23214599
ENSDARG00000056414	usp1	6	32394502	32411727
ENSDARG00000070109	ncapg	1	23559478	23573230
ENSDARG00000027612	gatad1	19	43969363	43976522
ENSDARG00000009941	erc1a	25	21176937	21253162
ENSDARG00000100338		4	71443269	71446480
ENSDARG00000006497	rtn1a	13	31424586	31470439
ENSDARG00000095783	si:dkey-249d8.1	6	49761229	49769100
ENSDARG00000079024	rps6kl1	17	52559952	52579709
ENSDARG00000100006		4	71460543	71471302
ENSDARG00000021352	gria1a	14	34125855	34276574
ENSDARG00000006577		8	53051701	53062017
ENSDARG00000056666	sp8b	16	19536614	19538776
ENSDARG00000100671		4	64386780	64387339
ENSDARG00000097183		6	32415749	32416439
ENSDARG00000037476	sorbs3	8	38318357	38406868
ENSDARG00000088708	ngfra	3	20156956	20231781
ENSDARG00000078674	hspb9	3	33300522	33301321
ENSDARG00000060150	psmd11a	3	34801146	34816979
ENSDARG00000101409		3	33300418	33304123
ENSDARG00000069984		19	43978814	43980876
ENSDARG00000033971	prrx1a	2	23165250	23172708
ENSDARG00000070098	lcorl	1	23573224	23596391
ENSDARG00000095836		25	21174391	21194825
ENSDARG00000032319	mest	4	15996234	16001215
ENSDARG00000041248	si:dkey-241l7.6	20	54013212	54034543
ENSDARG00000098173		14	34154456	34162801
ENSDARG00000090468	ppp1r3aa	4	6572364	6580610
ENSDARG00000097653	si:dkey-23k10.3	15	36358144	36369743
ENSDARG00000100242	dph5	22	16097185	16121408
ENSDARG00000091974		4	6416278	6508631
ENSDARG00000074791	aldh3a1	15	20799943	20809124
ENSDARG00000040991	cttnbp2	18	20726149	20822045
ENSDARG00000053833	mtnr1ba	15	41027466	41064007
ENSDARG00000075444	cgref1	17	32630789	32636533
ENSDARG00000013453	tdrd9	13	31402067	31423346
ENSDARG00000099281		4	6639292	6640415
ENSDARG00000088989	si:dkey-241l7.5	20	54018005	54019284
ENSDARG00000101029	si:ch73-347e22.4	19	10860485	10872469
ENSDARG00000093020		4	6411080	6416172
ENSDARG00000007175	recql	4	17424855	17538270
ENSDARG00000073902	ptpn9b	1	19094548	19112934
ENSDARG00000007279	yipf5	21	40930177	40938382
ENSDARG00000074223	mdfic	4	6339572	6416414
ENSDARG00000029069	tnni2a.4	25	31276842	31288658
ENSDARG00000101230		4	64395855	64398120
ENSDARG00000096299	si:ch211-255a21.2	19	43987389	43989462
ENSDARG00000070694	NXPH3	3	20404912	20461702
ENSDARG00000104952		19	10859219	10881486
ENSDARG00000098288	tax1bp1a	19	19549062	19599372
ENSDARG00000101295	psmd4a	19	10871601	10881508
ENSDARG00000097855	si:ch211-3o3.9	9	40927277	40935934
ENSDARG00000086956	si:dkey-241l7.3	20	54027778	54029122
ENSDARG00000041960		17	52581012	52587598
ENSDARG00000053918	srfa	22	35089031	35124655
ENSDARG00000053449	pyya	3	33340939	33344780
ENSDARG00000043081	ctsz	6	49771372	49781362
ENSDARG00000098119		3	33344076	33345247
ENSDARG00000104819		4	64399553	64402461
ENSDARG00000014003	stard8	5	35786141	35867256
ENSDARG00000006251	ell2	21	11749097	11774964
ENSDARG00000104824		1	25862966	25863639
ENSDARG00000102774	znf687a	16	21917673	21938044
ENSDARG00000043445		1	56900580	56904810
ENSDARG00000102906	hibadha	19	19599528	19657539
ENSDARG00000079897	si:dkey-7k24.5	6	46481024	46494084
ENSDARG00000098513		19	10859194	10864799
ENSDARG00000097317		6	12326267	12332105
ENSDARG00000104887		4	64471942	64482414
ENSDARG00000056998	kirrel1b	2	43961626	44038776
ENSDARG00000102004	apoea	19	10855158	10859694
ENSDARG00000068755	exosc8	10	35002786	35011502
ENSDARG00000035459	spns3	5	30956981	30984271
ENSDARG00000117097	crygm2c	9	22022105	22023061
ENSDARG00000060095	kcnb1	6	46507609	46565466
ENSDARG00000039661	slc36a4	15	41169211	41235027
ENSDARG00000099573		8	23122151	23122372
ENSDARG00000032831	htra1a	17	21919131	21959556
ENSDARG00000069133	mstnb	9	40939336	40943137
ENSDARG00000093172		8	23128233	23129731
ENSDARG00000096756	si:ch211-196c10.13	8	23142946	23143712
ENSDARG00000094530		23	19177891	19182388
ENSDARG00000014333	ormdl1	9	41024973	41034174
ENSDARG00000086218	nkd3	19	43995936	43998061
ENSDARG00000100262		4	64530121	64542903
ENSDARG00000092275	si:dkey-234d14.2	1	22427135	22428853
ENSDARG00000098313	nadka	8	53064920	53069540
ENSDARG00000074283	INPP5D	6	28140816	28192192
ENSDARG00000089478	si:dkey-241l7.4	20	54024559	54025947
ENSDARG00000092912	si:ch211-3o3.7	9	40943119	40953573
ENSDARG00000101828		4	71489538	71533550
ENSDARG00000053453	mpp2a	3	33345347	33379440
ENSDARG00000019998	slc30a7	22	16123090	16154771
ENSDARG00000096278		19	44004348	44006445
ENSDARG00000000476	pms1	9	40948569	41025062
ENSDARG00000097101		9	37817266	37820212
ENSDARG00000037916	cdk5r1a	3	34821327	34822320
ENSDARG00000006862	kifap3b	2	23222939	23293501
ENSDARG00000069242	pdia5	9	37754845	37840350
ENSDARG00000006389	smad2	10	14871136	14943281
ENSDARG00000020102	kctd16b	21	40944530	40959709
ENSDARG00000098024	si:dkey-262k9.2	15	36445350	36502227
ENSDARG00000077791	BRSK2	7	49324103	49595067
ENSDARG00000036139	lctla	7	34227075	34236091
ENSDARG00000105335	si:dkey-241l7.2	20	54034512	54035844
ENSDARG00000097824	smco4	15	41238247	41245962
ENSDARG00000015752	zap70	8	20393250	20414364
ENSDARG00000103615		14	33195619	33218418
ENSDARG00000089767	rnf130	14	36765612	36863432
ENSDARG00000104737		4	64549970	64563965
ENSDARG00000053209	smad6a	7	34182963	34192834
ENSDARG00000005254	kdelr2a	3	18376269	18384501
ENSDARG00000036140	crybgx	7	34222433	34225011
ENSDARG00000088342	TMEM145	16	26027011	26074529
ENSDARG00000060094	ptgis	6	46568119	46589726
ENSDARG00000090036	rhobtb3	21	11776724	11820379
ENSDARG00000060633	usp16	15	41290948	41311295
ENSDARG00000095137		10	14936045	14940346
ENSDARG00000028106	glrx	21	11776328	11782093
ENSDARG00000058329		15	18212190	18218227
ENSDARG00000096585		1	56919742	56922160
ENSDARG00000100519	spop	3	20658203	20793656
ENSDARG00000017445	eif3i	19	29822500	29832876
ENSDARG00000023445	atp2b3b	23	19834215	19953089
ENSDARG00000012387	pdha1a	5	24031314	24044877
ENSDARG00000100842	si:ch211-223a21.4	4	64577406	64584037
ENSDARG00000018797	crygmxl1	9	22056172	22057658
ENSDARG00000014259	eya1	24	13869092	14015459
ENSDARG00000030905	cited2	20	36915143	36917670
ENSDARG00000017708	lrrc40	6	30113750	30122554
ENSDARG00000090935	usp16	15	41249772	41310340
ENSDARG00000052617	raver1	3	46559639	46587006
ENSDARG00000054032	rab24	21	38732945	38739728
ENSDARG00000068480	map7d2a	5	23957572	24000211
ENSDARG00000003008	prkcea	12	25640480	25770232
ENSDARG00000104418		11	28078148	28086924
ENSDARG00000051816	aass	25	28279577	28336106
ENSDARG00000102602		11	28052699	28086915
ENSDARG00000035556	rps6ka3a	5	24009668	24029228
ENSDARG00000103039		3	33384282	33388967
ENSDARG00000116227		15	20809709	20811411
ENSDARG00000111157		15	20828421	20830125
ENSDARG00000111998		4	64586627	64605318
ENSDARG00000024598	homezb	7	24006875	24013888
ENSDARG00000019280	LARS1	21	41026612	41070182
ENSDARG00000079399	F2RL3	14	36869273	36878988
ENSDARG00000095445	si:dkey-191c17.2	8	33105974	33109130
ENSDARG00000104213	si:dkey-283b1.6	3	33389023	33395233
ENSDARG00000042521	si:dkey-251i10.1	5	67448664	67459538
ENSDARG00000068370	ralgps1	8	32914626	33114202
ENSDARG00000096706		20	36925954	37207373
ENSDARG00000008247	vezf1a	10	37083654	37126562
ENSDARG00000002174	itfg2	4	17539134	17553996
ENSDARG00000068369	angptl2b	8	33035709	33051353
ENSDARG00000062479	vcam1b	22	16169447	16180849
ENSDARG00000032344	pde4a	3	46628885	46754730
ENSDARG00000069031	plac8l1	21	41016729	41028665
ENSDARG00000110917		4	64608808	64618579
ENSDARG00000022570	nmur3	11	28107632	28126139
ENSDARG00000029003	eif1axa	5	24002598	24008997
ENSDARG00000022768	gid8a	8	23147218	23154955
ENSDARG00000044175	oxtrb	6	46668717	46687079
ENSDARG00000005865	or91a1	15	18221859	18223769
ENSDARG00000073899	nemp1	23	31942040	31953643
ENSDARG00000099381		4	71536326	71554068
ENSDARG00000093074	si:ch211-139g16.8	3	18389363	18396564
ENSDARG00000060072	abi3a	3	33395942	33417826
ENSDARG00000092970	tmsb2	14	34486629	34488993
ENSDARG00000103750		22	14178813	14272699
ENSDARG00000090120		3	46635527	46637476
ENSDARG00000098628		4	64688888	64691356
ENSDARG00000042954	slc17a9a	8	23152244	23165413
ENSDARG00000077898	or91a2	15	18230494	18232712
ENSDARG00000091150	mki67	12	10366617	10381282
ENSDARG00000099109		7	72644051	72741530
ENSDARG00000037917	itga3a	3	34846201	34917041
ENSDARG00000080675	otoa	16	21946091	22006996
ENSDARG00000101061	eif2a	18	3552641	3571583
ENSDARG00000073686	heatr6	21	38745094	38795137
ENSDARG00000026634	ehmt1b	21	14644247	14692119
ENSDARG00000088087	kdm6ba	7	21632100	21778474
ENSDARG00000100811		4	71561409	71562715
ENSDARG00000055559	chrna6	1	22481723	22512136
ENSDARG00000096931		3	46757611	46762706
ENSDARG00000004470	prkcsh	3	46762703	46795783
ENSDARG00000087625	olfm4.2	17	52589913	52595932
ENSDARG00000021097	nelfcd	6	49781884	49801173
ENSDARG00000075854	gjb10	17	24843401	24844543
ENSDARG00000089838	fxyd5	15	36506014	36533437
ENSDARG00000073812	or91a3	15	18238419	18240199
ENSDARG00000056795	serpine1	7	26265584	26270014
ENSDARG00000057016	cdc14ab	22	16190231	16275236
ENSDARG00000044862	opn1lw1	11	25477643	25480037
ENSDARG00000101757		4	71578099	71610565
ENSDARG00000096733		20	37256654	37280782
ENSDARG00000077291	rps2	3	18398876	18403179
ENSDARG00000076090	jakmip1	14	17230283	17306261
ENSDARG00000099328		4	71617362	71624500
ENSDARG00000054152	NMBR	20	37263663	37287107
ENSDARG00000042866	gjb3	17	24848976	24853918
ENSDARG00000110860		4	64708721	64709908
ENSDARG00000043395	crip3	17	21964472	21982835
ENSDARG00000041873	si:dkey-221h15.4	20	38831588	38836161
ENSDARG00000079985	nrip2	4	17572495	17629444
ENSDARG00000041239	WDR20	20	54036981	54051196
ENSDARG00000053311	tespa1	6	46697710	46722893
ENSDARG00000087844	plekhn1	23	23232136	23252668
ENSDARG00000062182	slc22a7b.3	17	21982617	21993707
ENSDARG00000074526	zbtb16b	15	18253542	18361475
ENSDARG00000096377		3	34947638	34948034
ENSDARG00000009568	ca10b	3	34919810	34981673
ENSDARG00000115234	crygm2b	9	22068412	22069364
ENSDARG00000053455	ccdc103	3	33420214	33422738
ENSDARG00000014420	elavl3	3	46800190	46818001
ENSDARG00000096574		1	56929873	56932578
ENSDARG00000103218		4	71641813	71677558
ENSDARG00000099293		4	64712035	64712765
ENSDARG00000012640	cideb	7	24015507	24022340
ENSDARG00000115778	chrnb5a	1	22542457	22594338
ENSDARG00000016871	smarce1	3	34985895	34995062
ENSDARG00000052910	wnt8a	14	34490445	34494899
ENSDARG00000098710		7	24018851	24021118
ENSDARG00000079816	rhbdd3	5	24882633	24886597
ENSDARG00000062430	gpd2	6	12379666	12459449
ENSDARG00000052408	mgat2	20	54067041	54075136
ENSDARG00000113141		4	64755464	64774037
ENSDARG00000105311		14	34490445	34497724
ENSDARG00000041232	rps29	20	54079341	54085949
ENSDARG00000102690		19	13099541	13186822
ENSDARG00000093355		20	54088980	54107941
ENSDARG00000078507	wnt8-2	14	34495216	34497724
ENSDARG00000038432	actr10	20	54274431	54286860
ENSDARG00000054150	gje1a	20	37294112	37298274
ENSDARG00000040009	palld	20	23498255	23649028
ENSDARG00000019113	mob3a	8	20415824	20429843
ENSDARG00000097890	slc25a10a	3	50032394	50046004
ENSDARG00000022295	hnf1bb	21	38817785	38840667
ENSDARG00000070029	ehhadh	9	12428226	12443726
ENSDARG00000017982	cyp39a1	20	39190854	39219537
ENSDARG00000109255		4	64857878	64918854
ENSDARG00000021589	tmem60	25	21277478	21280584
ENSDARG00000105346	zp2.2	20	54290356	54292173
ENSDARG00000105219		4	64857820	64871624
ENSDARG00000060004	fzd7a	9	13352308	13355071
ENSDARG00000006011	klhl42	4	17634311	17642168
ENSDARG00000019686	fgl2b	25	21267579	21273875
ENSDARG00000074143		9	12664373	12811936
ENSDARG00000021869	rcan2	20	39055432	39188476
